t,x=0.001,x=0.5,x=1
4.2,-68.05031460832599,-73.44167652415852,-70.59993435626714
4.3,-68.35672947068944,-74.71749011019365,-73.89431100752829
4.4,-68.43052460051456,-75.31926430225725,-75.34001742272814
4.5,-68.37414721009739,-75.56236648770573,-75.88704962868918
4.6000000000000005,-68.24452107398675,-75.63089896492238,-76.07375768977421
4.7,-68.07359118658388,-75.61727800378729,-76.12143500490096
4.800000000000001,-67.87915315509547,-75.56426852476378,-76.1133929329312
4.9,-67.67092210142351,-75.49103220218727,-76.08109729256932
5.0,-67.45410842717348,-75.40612928136805,-76.03682158109456
5.1000000000000005,-67.23148830229944,-75.31342996106949,-75.98552555238618
5.2,-67.00455552254046,-75.21471575133633,-75.92926388100807
5.300000000000001,-66.77413703171845,-75.11082254871482,-75.86888702112596
5.4,-66.54071556971043,-75.00215011107959,-75.80472581949076
5.5,-66.3045973034094,-74.8888942025588,-75.73687903952383
5.6000000000000005,-66.06599719849535,-74.77115510269292,-75.66533949354681
5.7,-65.82508328226294,-74.64898967676255,-75.59005178940865
5.800000000000001,-65.58199753064665,-74.5224369479974,-75.51093998201539
5.9,-65.33687116125756,-74.39153097371026,-75.42792148270628
6.0,-65.08982978139805,-74.25630753873186,-75.34091446703441
6.1000000000000005,-64.84099729677655,-74.11680768133824,-75.24984209533214
6.2,-64.59049362614606,-73.97307949357194,-75.1546351029121
6.300000000000001,-64.33844049745879,-73.82517896812875,-75.05523349506579
6.4,-64.0849601184183,-73.67317053377397,-74.9515876211764
6.5,-63.83017580678667,-73.51712727258665,-74.8436587504565
6.6000000000000005,-63.57420641098096,-73.35713082290602,-74.7314212064111
6.7,-63.31717302611221,-73.1932711077034,-74.61486257350685
6.800000000000001,-63.05919657746689,-73.02564614921151,-74.49398344470696
6.9,-62.80039770554719,-72.8543618006693,-74.36879753788904
7.0,-62.54088977866766,-72.67953131973557,-74.23933180241187
7.1000000000000005,-62.280787535476506,-72.50127479644331,-74.10562638232574
7.2,-62.0202050289719,-72.31971875301011,-73.9677342957127
7.300000000000001,-61.75925219280357,-72.1349956948427,-73.82572013116008
7.4,-61.49802999590606,-71.94724331633527,-73.67966228258474
7.5,-61.23663869999946,-71.75660381046077,-73.52965340534675
7.6000000000000005,-60.975178233588935,-71.56322364318686,-73.37579809967406
7.7,-60.71373874704559,-71.36725304368083,-73.21821176401198
7.800000000000001,-60.452401270180815,-71.16884479305735,-73.05701961932749
7.9,-60.19124382662297,-70.96815320625296,-72.8923548082833
8.0,-59.930345348662456,-70.76533348594165,-72.72435656957816
8.1,-59.66976624013237,-70.56054150366487,-72.55317602782677
8.200000000000001,-59.40956045613914,-70.35393275500502,-72.37897319923685
8.3,-59.14977596647787,-70.14566144888555,-72.20191375307559
8.4,-58.890462162528976,-69.93587978480124,-72.02216692483289
8.5,-58.631640977802014,-69.72473712867202,-71.83990146987438
8.6,-58.37333250561274,-69.51237848893837,-71.65528582150942
8.700000000000001,-58.115547151982305,-69.29894414706615,-71.46849701817379
8.8,-57.858296006783675,-69.08456956793259,-71.27971456781677
8.9,-57.60155520568307,-68.86938448707468,-71.08911640244892
9.0,-57.345301743429715,-68.65351086881446,-70.89687455901887
9.1,-57.08950151389873,-68.43706248272295,-70.70314883513832
9.200000000000001,-56.8341176181963,-68.22014464745507,-70.50810309148994
9.3,-56.57907150950613,-68.00285383831223,-70.3119026542081
9.4,-56.32428715132771,-67.78527572789068,-70.114706803388
9.5,-56.069675220636526,-67.56748486728686,-69.91666288397994
9.600000000000001,-55.81513991185328,-67.34954464886007,-69.7178955464842
9.700000000000001,-55.56053503759612,-67.13150548725832,-69.51852932869781
9.8,-55.30571699147517,-66.91340329603119,-69.31869032430218
9.9,-55.05052515023413,-66.69525963057012,-69.11849470888747
10.0,-54.79478445070582,-66.4770822782971,-68.91804047317154
10.100000000000001,-54.538261207924144,-66.25886260505115,-68.71739220114584
10.200000000000001,-54.28071682608961,-66.04057204810047,-68.51661274695239
10.3,-54.02189338121572,-65.82216234981716,-68.31576698809444
10.4,-53.76149688320837,-65.60356656930239,-68.11490608007624
10.5,-53.49916481501328,-65.38469700748243,-67.9140558802547
10.600000000000001,-53.23451303945657,-65.16543957153289,-67.71319580325041
10.700000000000001,-52.96713016332112,-64.9456508864877,-67.51230286769784
10.8,-52.696523917316554,-64.72515851052681,-67.31135597748109
10.9,-52.422122903992545,-64.50375799607326,-67.11031460289766
11.0,-52.14329131948039,-64.28120725746561,-66.90910155758256
11.100000000000001,-51.85934319149293,-64.05721980983783,-66.70757350937755
11.200000000000001,-51.56941670480974,-63.83145756297735,-66.5055811691107
11.3,-51.27254747844868,-63.60352251670934,-66.30297163710155
11.4,-50.96763643640454,-63.37295079024253,-66.09955757874616
11.5,-50.65338559684136,-63.13920092875777,-65.8950897001092
11.600000000000001,-50.32823698365385,-62.90163162233918,-65.68921601254861
11.700000000000001,-49.99038344477141,-62.659478392914004,-65.4815624389363
11.8,-49.63767011460978,-62.411836393905695,-65.27172223431648
11.9,-49.26744510272934,-62.15762771189401,-65.05920782852284
12.0,-48.876549237038006,-61.895552189335305,-64.84339397011188
